,Query,OriginalCategory,OriginalBrand,OriginalRank,OriginalTitle,OriginalPrice,CandidateCategory,CandidateBrand,CandidateRank,CandidateTitle,CandidatePrice
14,런닝화,스니커즈,SNRD,1.0,"SNRD 스니커즈 런닝화 SN192, 블랙, 225",15630.0,런닝화,페이퍼플레인,45.0,"페이퍼플레인 남녀공용 PP1404 런닝화, 블랙, 290",34800.0
15,런닝화,런닝화,슈퍼카미트,6.0,"슈퍼카미트 남녀공용 SHOEKING 에어 조킹화 런닝화 운동화 37, 퍼플, 230",9900.0,런닝화,페이퍼플레인,45.0,"페이퍼플레인 남녀공용 PP1404 런닝화, 블랙, 290",34800.0
16,런닝화,런닝화,슈퍼카미트,6.0,"슈퍼카미트 남녀공용 SHOEKING 에어 조킹화 런닝화 운동화 37, 퍼플, 230",9900.0,런닝화,프로월드컵,159.0,"프로월드컵 엑셀 런닝화 운동화, 블랙, 250",52420.0
17,런닝화,런닝화,슈퍼카미트,6.0,"슈퍼카미트 남녀공용 SHOEKING 에어 조킹화 런닝화 운동화 37, 퍼플, 230",9900.0,런닝화,휠라,22.0,"휠라 보비어소러스 99 런닝화 FS1HTA3052X, WGY, 230",62100.0
18,런닝화,런닝화,슈퍼카미트,6.0,"슈퍼카미트 남녀공용 SHOEKING 에어 조킹화 런닝화 운동화 37, 퍼플, 230",9900.0,런닝화,휠라,17.0,"휠라 보비어소러스 99 런닝화 FS1HTA3051X, WNR, 230",62100.0
19,런닝화,런닝화,슈퍼카미트,6.0,"슈퍼카미트 남녀공용 SHOEKING 에어 조킹화 런닝화 운동화 37, 퍼플, 230",9900.0,런닝화,리복,150.0,"리복 펌프 이자르 런닝화 BS5931, BLACK, 230",67900.0
20,운동복,요가복,비타니,5.0,"비타니 여성용 요가 트레이닝복 상하의 세트, L, 핑크",17900.0,레깅스,쉬비치,71.0,"쉬비치 여성용 스킨핏 워터레깅스, S, FREE",9900.0
21,운동복,요가복,비타니,5.0,"비타니 여성용 요가 트레이닝복 상하의 세트, L, 핑크",17900.0,상하의 세트,이코디,9.0,"이코디 여성용 패션 피트니스 곡선스위트 상하의 세트, XXL, 블랙",30900.0
22,운동복,요가복,비타니,5.0,"비타니 여성용 요가 트레이닝복 상하의 세트, L, 핑크",17900.0,상하의 세트,이코디,75.0,"이코디 여성용 패션 피트니스 스위트 운동복 상하의 세트, S, 오렌지",30900.0
23,운동복,요가복,비타니,5.0,"비타니 여성용 요가 트레이닝복 상하의 세트, L, 핑크",17900.0,레깅스,더시럽,345.0,"더시럽 여성용 애링 반바지레깅스, S, 블랙",29700.0
24,운동복,요가복,비타니,5.0,"비타니 여성용 요가 트레이닝복 상하의 세트, L, 핑크",17900.0,요가복,DM,53.0,"DM 여성용 알럽핏 스웬트 요가 바지, XL, 연그린",18300.0
25,운동복,요가복,스피카,1.0,"스피카 여성용 요가복 상하의 세트 SPA507503, 85(M), 블랙, 블랙",19520.0,상하의 세트,이코디,9.0,"이코디 여성용 패션 피트니스 곡선스위트 상하의 세트, XXL, 블랙",30900.0
26,운동복,요가복,스피카,1.0,"스피카 여성용 요가복 상하의 세트 SPA507503, 85(M), 블랙, 블랙",19520.0,레깅스,더시럽,345.0,"더시럽 여성용 애링 반바지레깅스, S, 블랙",29700.0
27,운동복,요가복,스피카,1.0,"스피카 여성용 요가복 상하의 세트 SPA507503, 85(M), 블랙, 블랙",19520.0,레깅스,쉬비치,78.0,"쉬비치 여성용 하이파이브 고리 워터레깅스, S, 블랙",9900.0
28,운동복,요가복,스피카,1.0,"스피카 여성용 요가복 상하의 세트 SPA507503, 85(M), 블랙, 블랙",19520.0,요가복,제일기획,34.0,"제일기획 여성용 요가복세트 SPA501506, 차콜, 블랙, 90(L)",20500.0
29,운동복,요가복,스피카,1.0,"스피카 여성용 요가복 상하의 세트 SPA507503, 85(M), 블랙, 블랙",19520.0,요가복,비타니,5.0,"비타니 여성용 요가 트레이닝복 상하의 세트, L, 핑크",17900.0
30,운동복,상하의 세트,이코디,9.0,"이코디 여성용 패션 피트니스 곡선스위트 상하의 세트, XXL, 블랙",30900.0,상하의 세트,이코디,75.0,"이코디 여성용 패션 피트니스 스위트 운동복 상하의 세트, S, 오렌지",30900.0
31,운동복,상하의 세트,이코디,9.0,"이코디 여성용 패션 피트니스 곡선스위트 상하의 세트, XXL, 블랙",30900.0,요가복,이코디,46.0,"이코디 여성용 긴팔 스위트 컬러 요가복 상하의 세트, XXL, 오렌지",29800.0
32,운동복,상하의 세트,이코디,9.0,"이코디 여성용 패션 피트니스 곡선스위트 상하의 세트, XXL, 블랙",30900.0,요가복,비타니,5.0,"비타니 여성용 요가 트레이닝복 상하의 세트, L, 핑크",17900.0
33,운동복,상하의 세트,이코디,9.0,"이코디 여성용 패션 피트니스 곡선스위트 상하의 세트, XXL, 블랙",30900.0,레깅스,더시럽,345.0,"더시럽 여성용 애링 반바지레깅스, S, 블랙",29700.0
34,운동복,상하의 세트,이코디,9.0,"이코디 여성용 패션 피트니스 곡선스위트 상하의 세트, XXL, 블랙",30900.0,요가복,스피카,1.0,"스피카 여성용 요가복 상하의 세트 SPA507503, 85(M), 블랙, 블랙",19520.0
35,운동복,레깅스,아르메데스,5.0,"아르메데스 여성용 기능성 아이스 레깅스 SLE 300, M, 블랙",4900.0,레깅스,더시럽,345.0,"더시럽 여성용 애링 반바지레깅스, S, 블랙",29700.0
36,운동복,레깅스,아르메데스,5.0,"아르메데스 여성용 기능성 아이스 레깅스 SLE 300, M, 블랙",4900.0,레깅스,쉬비치,78.0,"쉬비치 여성용 하이파이브 고리 워터레깅스, S, 블랙",9900.0
37,운동복,레깅스,아르메데스,5.0,"아르메데스 여성용 기능성 아이스 레깅스 SLE 300, M, 블랙",4900.0,레깅스,쉬비치,71.0,"쉬비치 여성용 스킨핏 워터레깅스, S, FREE",9900.0
38,운동복,레깅스,아르메데스,5.0,"아르메데스 여성용 기능성 아이스 레깅스 SLE 300, M, 블랙",4900.0,레깅스,뒤란,26.0,"뒤란 여성용 운동복 베키 요가레깅스 DFW4016, S, 블랙",25200.0
39,운동복,레깅스,아르메데스,5.0,"아르메데스 여성용 기능성 아이스 레깅스 SLE 300, M, 블랙",4900.0,레깅스,댕댕이주식회사,163.0,"댕댕이주식회사 여성용 요가의류 컨퍼터블 하의 레깅스 SW2631, L/XL, 블랙",16000.0
40,압타밀,분유,압타밀,1.0,"압타밀 프로누트라 플러스 분유 1단계, 800g",27900.0,분유,압타밀,5.0,"압타밀 프로누트라 플러스 분유 1단계, 800g, 3개",83700.0
41,압타밀,분유,압타밀,1.0,"압타밀 프로누트라 플러스 분유 1단계, 800g",27900.0,분유,압타밀,2.0,"압타밀 프로누트라 플러스 분유 2단계, 800g",27900.0
42,압타밀,분유,압타밀,1.0,"압타밀 프로누트라 플러스 분유 1단계, 800g",27900.0,분유,압타밀,9.0,"압타밀 프로누트라 분유 3단계, 800g",27900.0
43,압타밀,분유,압타밀,1.0,"압타밀 프로누트라 플러스 분유 1단계, 800g",27900.0,분유,압타밀,11.0,"압타밀 프로누트라 플러스 분유 2단계, 800g, 3개",83700.0
44,압타밀,분유,압타밀,1.0,"압타밀 프로누트라 플러스 분유 1단계, 800g",27900.0,분유,압타밀,28.0,"압타밀 프로누트라 분유 3단계, 800g, 3개",83700.0
45,압타밀,분유,압타밀,2.0,"압타밀 프로누트라 플러스 분유 2단계, 800g",27900.0,분유,압타밀,11.0,"압타밀 프로누트라 플러스 분유 2단계, 800g, 3개",83700.0
46,압타밀,분유,압타밀,2.0,"압타밀 프로누트라 플러스 분유 2단계, 800g",27900.0,분유,압타밀,1.0,"압타밀 프로누트라 플러스 분유 1단계, 800g",27900.0
47,압타밀,분유,압타밀,2.0,"압타밀 프로누트라 플러스 분유 2단계, 800g",27900.0,분유,압타밀,9.0,"압타밀 프로누트라 분유 3단계, 800g",27900.0
48,압타밀,분유,압타밀,2.0,"압타밀 프로누트라 플러스 분유 2단계, 800g",27900.0,분유,압타밀,5.0,"압타밀 프로누트라 플러스 분유 1단계, 800g, 3개",83700.0
49,압타밀,분유,압타밀,2.0,"압타밀 프로누트라 플러스 분유 2단계, 800g",27900.0,분유,압타밀,28.0,"압타밀 프로누트라 분유 3단계, 800g, 3개",83700.0
50,압타밀,분유,압타밀,5.0,"압타밀 프로누트라 플러스 분유 1단계, 800g, 3개",83700.0,분유,압타밀,1.0,"압타밀 프로누트라 플러스 분유 1단계, 800g",27900.0
51,압타밀,분유,압타밀,5.0,"압타밀 프로누트라 플러스 분유 1단계, 800g, 3개",83700.0,분유,압타밀,11.0,"압타밀 프로누트라 플러스 분유 2단계, 800g, 3개",83700.0
52,압타밀,분유,압타밀,5.0,"압타밀 프로누트라 플러스 분유 1단계, 800g, 3개",83700.0,분유,압타밀,2.0,"압타밀 프로누트라 플러스 분유 2단계, 800g",27900.0
53,압타밀,분유,압타밀,5.0,"압타밀 프로누트라 플러스 분유 1단계, 800g, 3개",83700.0,분유,압타밀,28.0,"압타밀 프로누트라 분유 3단계, 800g, 3개",83700.0
54,압타밀,분유,압타밀,5.0,"압타밀 프로누트라 플러스 분유 1단계, 800g, 3개",83700.0,분유,압타밀,9.0,"압타밀 프로누트라 분유 3단계, 800g",27900.0
55,압타밀,분유,압타밀,9.0,"압타밀 프로누트라 분유 3단계, 800g",27900.0,분유,압타밀,28.0,"압타밀 프로누트라 분유 3단계, 800g, 3개",83700.0
56,압타밀,분유,압타밀,9.0,"압타밀 프로누트라 분유 3단계, 800g",27900.0,분유,압타밀,2.0,"압타밀 프로누트라 플러스 분유 2단계, 800g",27900.0
57,압타밀,분유,압타밀,9.0,"압타밀 프로누트라 분유 3단계, 800g",27900.0,분유,압타밀,1.0,"압타밀 프로누트라 플러스 분유 1단계, 800g",27900.0
58,압타밀,분유,압타밀,9.0,"압타밀 프로누트라 분유 3단계, 800g",27900.0,분유,압타밀,11.0,"압타밀 프로누트라 플러스 분유 2단계, 800g, 3개",83700.0
59,압타밀,분유,압타밀,9.0,"압타밀 프로누트라 분유 3단계, 800g",27900.0,분유,압타밀,5.0,"압타밀 프로누트라 플러스 분유 1단계, 800g, 3개",83700.0
60,트레비,탄산수,트레비,6.0,"트레비 자몽, 500ml, 20개",13900.0,탄산수,트레비,6.0,"트레비 플레인 페트, 500ml, 20개",14030.0
61,트레비,탄산수,트레비,6.0,"트레비 자몽, 500ml, 20개",13900.0,탄산수,트레비,3.0,"트레비 탄산수 레몬맛, 500ml, 20개",14030.0
62,트레비,탄산수,트레비,6.0,"트레비 자몽, 500ml, 20개",13900.0,탄산수,트레비,3.0,"트레비 라임 탄산음료, 500ml, 20개",14200.0
63,트레비,탄산수,트레비,6.0,"트레비 자몽, 500ml, 20개",13900.0,탄산수,트레비,9.0,"트레비 탄산 워터, 500ml, 20개입",14810.0
64,트레비,탄산수,트레비,6.0,"트레비 자몽, 500ml, 20개",13900.0,탄산수,트레비,4.0,"트레비 레몬 탄산음료, 400ml, 20개",13690.0
65,트레비,탄산수,트레비,2.0,"트레비 자몽 탄산음료, 300ml, 20개입",8800.0,탄산수,트레비,6.0,"트레비 자몽, 500ml, 20개",13900.0
66,트레비,탄산수,트레비,2.0,"트레비 자몽 탄산음료, 300ml, 20개입",8800.0,탄산수,트레비,3.0,"트레비 라임 음료, 400ml, 20개입",13210.0
67,트레비,탄산수,트레비,2.0,"트레비 자몽 탄산음료, 300ml, 20개입",8800.0,탄산수,트레비,3.0,"트레비 라임 탄산음료, 500ml, 20개",14200.0
68,트레비,탄산수,트레비,2.0,"트레비 자몽 탄산음료, 300ml, 20개입",8800.0,탄산수,트레비,4.0,"트레비 레몬 탄산음료, 400ml, 20개",13690.0
69,트레비,탄산수,트레비,2.0,"트레비 자몽 탄산음료, 300ml, 20개입",8800.0,탄산수,트레비,9.0,"트레비 탄산 워터, 500ml, 20개입",14810.0
70,트레비,탄산수,트레비,6.0,"트레비 플레인 페트, 500ml, 20개",14030.0,탄산수,트레비,6.0,"트레비 자몽, 500ml, 20개",13900.0
71,트레비,탄산수,트레비,6.0,"트레비 플레인 페트, 500ml, 20개",14030.0,탄산수,트레비,3.0,"트레비 라임 탄산음료, 500ml, 20개",14200.0
72,트레비,탄산수,트레비,6.0,"트레비 플레인 페트, 500ml, 20개",14030.0,탄산수,트레비,3.0,"트레비 탄산수 레몬맛, 500ml, 20개",14030.0
73,트레비,탄산수,트레비,6.0,"트레비 플레인 페트, 500ml, 20개",14030.0,탄산수,트레비,4.0,"트레비 레몬 탄산음료, 400ml, 20개",13690.0
74,트레비,탄산수,트레비,6.0,"트레비 플레인 페트, 500ml, 20개",14030.0,탄산수,트레비,9.0,"트레비 탄산 워터, 500ml, 20개입",14810.0
75,트레비,탄산수,트레비,3.0,"트레비 탄산수 레몬맛, 500ml, 20개",14030.0,탄산수,트레비,6.0,"트레비 자몽, 500ml, 20개",13900.0
76,트레비,탄산수,트레비,3.0,"트레비 탄산수 레몬맛, 500ml, 20개",14030.0,탄산수,트레비,6.0,"트레비 플레인 페트, 500ml, 20개",14030.0
77,트레비,탄산수,트레비,3.0,"트레비 탄산수 레몬맛, 500ml, 20개",14030.0,탄산수,트레비,3.0,"트레비 라임 탄산음료, 500ml, 20개",14200.0
78,트레비,탄산수,트레비,3.0,"트레비 탄산수 레몬맛, 500ml, 20개",14030.0,탄산수,트레비,9.0,"트레비 탄산 워터, 500ml, 20개입",14810.0
79,트레비,탄산수,트레비,3.0,"트레비 탄산수 레몬맛, 500ml, 20개",14030.0,탄산수,트레비,4.0,"트레비 레몬 탄산음료, 400ml, 20개",13690.0
80,트레비,탄산수,트레비,3.0,"트레비 라임 음료, 400ml, 20개입",13210.0,탄산수,트레비,10.0,"트레비 라임, 280ml, 16개",21800.0
81,트레비,탄산수,트레비,3.0,"트레비 라임 음료, 400ml, 20개입",13210.0,탄산수,트레비,4.0,"트레비 레몬 탄산음료, 400ml, 20개",13690.0
82,트레비,탄산수,트레비,3.0,"트레비 라임 음료, 400ml, 20개입",13210.0,탄산수,트레비,3.0,"트레비 라임 탄산음료, 500ml, 20개",14200.0
83,트레비,탄산수,트레비,3.0,"트레비 라임 음료, 400ml, 20개입",13210.0,탄산수,트레비,9.0,"트레비 탄산 워터, 500ml, 20개입",14810.0
84,트레비,탄산수,트레비,3.0,"트레비 라임 음료, 400ml, 20개입",13210.0,탄산수,트레비,2.0,"트레비 자몽 탄산음료, 300ml, 20개입",8800.0
85,트레비,탄산수,트레비,4.0,"트레비 레몬 탄산음료, 400ml, 20개",13690.0,탄산수,트레비,3.0,"트레비 라임 탄산음료, 500ml, 20개",14200.0
86,트레비,탄산수,트레비,4.0,"트레비 레몬 탄산음료, 400ml, 20개",13690.0,탄산수,트레비,6.0,"트레비 자몽, 500ml, 20개",13900.0
87,트레비,탄산수,트레비,4.0,"트레비 레몬 탄산음료, 400ml, 20개",13690.0,탄산수,롯데칠성,18.0,롯데칠성 트레비 탄산음료 레몬 280ml 16개,21800.0
88,트레비,탄산수,트레비,4.0,"트레비 레몬 탄산음료, 400ml, 20개",13690.0,탄산수,트레비,3.0,"트레비 라임 음료, 400ml, 20개입",13210.0
89,트레비,탄산수,트레비,4.0,"트레비 레몬 탄산음료, 400ml, 20개",13690.0,탄산수,트레비,6.0,"트레비 플레인 페트, 500ml, 20개",14030.0
90,트레비,탄산수,트레비,9.0,"트레비 탄산 워터, 500ml, 20개입",14810.0,탄산수,트레비,6.0,"트레비 자몽, 500ml, 20개",13900.0
91,트레비,탄산수,트레비,9.0,"트레비 탄산 워터, 500ml, 20개입",14810.0,탄산수,트레비,6.0,"트레비 플레인 페트, 500ml, 20개",14030.0
92,트레비,탄산수,트레비,9.0,"트레비 탄산 워터, 500ml, 20개입",14810.0,탄산수,트레비,3.0,"트레비 라임 음료, 400ml, 20개입",13210.0
93,트레비,탄산수,트레비,9.0,"트레비 탄산 워터, 500ml, 20개입",14810.0,탄산수,트레비,3.0,"트레비 탄산수 레몬맛, 500ml, 20개",14030.0
94,트레비,탄산수,트레비,9.0,"트레비 탄산 워터, 500ml, 20개입",14810.0,탄산수,트레비,3.0,"트레비 라임 탄산음료, 500ml, 20개",14200.0
95,트레비,탄산수,트레비,10.0,"트레비 라임, 280ml, 16개",21800.0,탄산수,롯데칠성,18.0,롯데칠성 트레비 탄산음료 레몬 280ml 16개,21800.0
96,트레비,탄산수,트레비,10.0,"트레비 라임, 280ml, 16개",21800.0,탄산수,트레비,3.0,"트레비 라임 음료, 400ml, 20개입",13210.0
97,트레비,탄산수,트레비,10.0,"트레비 라임, 280ml, 16개",21800.0,탄산수,트레비,3.0,"트레비 라임 탄산음료, 500ml, 20개",14200.0
98,트레비,탄산수,트레비,10.0,"트레비 라임, 280ml, 16개",21800.0,탄산수,트레비,6.0,"트레비 자몽, 500ml, 20개",13900.0
99,트레비,탄산수,트레비,10.0,"트레비 라임, 280ml, 16개",21800.0,탄산수,트레비,9.0,"트레비 탄산 워터, 500ml, 20개입",14810.0
100,트레비,탄산수,트레비,3.0,"트레비 라임 탄산음료, 500ml, 20개",14200.0,탄산수,트레비,6.0,"트레비 자몽, 500ml, 20개",13900.0
101,트레비,탄산수,트레비,3.0,"트레비 라임 탄산음료, 500ml, 20개",14200.0,탄산수,트레비,4.0,"트레비 레몬 탄산음료, 400ml, 20개",13690.0
102,트레비,탄산수,트레비,3.0,"트레비 라임 탄산음료, 500ml, 20개",14200.0,탄산수,트레비,6.0,"트레비 플레인 페트, 500ml, 20개",14030.0
103,트레비,탄산수,트레비,3.0,"트레비 라임 탄산음료, 500ml, 20개",14200.0,탄산수,트레비,3.0,"트레비 탄산수 레몬맛, 500ml, 20개",14030.0
104,트레비,탄산수,트레비,3.0,"트레비 라임 탄산음료, 500ml, 20개",14200.0,탄산수,트레비,10.0,"트레비 라임, 280ml, 16개",21800.0
105,분유,분유,앱솔루트,9.0,"앱솔루트 프리미엄 명작 분유 1단계, 800g",20700.0,분유,앱솔루트,8.0,"앱솔루트 프리미엄 명작 분유 1단계, 800g, 3개",62100.0
106,분유,분유,앱솔루트,9.0,"앱솔루트 프리미엄 명작 분유 1단계, 800g",20700.0,분유,앱솔루트,14.0,"앱솔루트 프리미엄 명작 분유 1단계, 800g, 6개",124200.0
107,분유,분유,앱솔루트,9.0,"앱솔루트 프리미엄 명작 분유 1단계, 800g",20700.0,분유,앱솔루트,16.0,"앱솔루트 프리미엄 명작 분유  2단계, 800g",21800.0
108,분유,분유,앱솔루트,9.0,"앱솔루트 프리미엄 명작 분유 1단계, 800g",20700.0,분유,앱솔루트,10.0,"앱솔루트 프리미엄 명작 분유 2단계, 800g, 3개",62100.0
109,분유,분유,앱솔루트,9.0,"앱솔루트 프리미엄 명작 분유 1단계, 800g",20700.0,분유,앱솔루트,3.0,"앱솔루트 엄마가 만든 프리미엄 명작 분유 4단계, 800g",16900.0
110,분유,분유,앱솔루트,10.0,"앱솔루트 자연의 선물 유기농 궁 분유 1단계, 800g",29000.0,분유,앱솔루트,11.0,"앱솔루트 자연의 선물 유기농 궁 분유 1단계, 800g, 3개",87000.0
111,분유,분유,앱솔루트,10.0,"앱솔루트 자연의 선물 유기농 궁 분유 1단계, 800g",29000.0,분유,앱솔루트,40.0,"앱솔루트 유기농 궁 분유 4단계, 800g",28000.0
112,분유,분유,앱솔루트,10.0,"앱솔루트 자연의 선물 유기농 궁 분유 1단계, 800g",29000.0,분유,앱솔루트,9.0,"앱솔루트 프리미엄 명작 분유 1단계, 800g",20700.0
113,분유,분유,앱솔루트,10.0,"앱솔루트 자연의 선물 유기농 궁 분유 1단계, 800g",29000.0,분유,아이엠마더,22.0,"아이엠마더 분유 1단계, 800g",28900.0
114,분유,분유,앱솔루트,10.0,"앱솔루트 자연의 선물 유기농 궁 분유 1단계, 800g",29000.0,분유,노발락,31.0,"노발락 분유 1단계, 800g",27550.0
115,분유,분유,앱솔루트,10.0,"앱솔루트 프리미엄 명작 분유 2단계, 800g, 3개",62100.0,분유,앱솔루트,16.0,"앱솔루트 프리미엄 명작 분유  2단계, 800g",21800.0
116,분유,분유,앱솔루트,10.0,"앱솔루트 프리미엄 명작 분유 2단계, 800g, 3개",62100.0,분유,앱솔루트,8.0,"앱솔루트 프리미엄 명작 분유 1단계, 800g, 3개",62100.0
117,분유,분유,앱솔루트,10.0,"앱솔루트 프리미엄 명작 분유 2단계, 800g, 3개",62100.0,분유,앱솔루트,9.0,"앱솔루트 프리미엄 명작 분유 1단계, 800g",20700.0
118,분유,분유,앱솔루트,10.0,"앱솔루트 프리미엄 명작 분유 2단계, 800g, 3개",62100.0,분유,앱솔루트,7.0,"앱솔루트 엄마가 만든 프리미엄 명작 분유 4단계, 800g, 3개",50700.0
119,분유,분유,앱솔루트,10.0,"앱솔루트 프리미엄 명작 분유 2단계, 800g, 3개",62100.0,분유,앱솔루트,14.0,"앱솔루트 프리미엄 명작 분유 1단계, 800g, 6개",124200.0
120,분유,분유,앱솔루트,3.0,"앱솔루트 엄마가 만든 프리미엄 명작 분유 4단계, 800g",16900.0,분유,앱솔루트,7.0,"앱솔루트 엄마가 만든 프리미엄 명작 분유 4단계, 800g, 3개",50700.0
121,분유,분유,앱솔루트,3.0,"앱솔루트 엄마가 만든 프리미엄 명작 분유 4단계, 800g",16900.0,분유,앱솔루트,6.0,"앱솔루트 엄마가 만든 프리미엄 명작 분유 3단계, 800g",16900.0
122,분유,분유,앱솔루트,3.0,"앱솔루트 엄마가 만든 프리미엄 명작 분유 4단계, 800g",16900.0,분유,앱솔루트,18.0,"앱솔루트 엄마가 만든 프리미엄 명작 분유 3단계, 800g, 6개",101400.0
123,분유,분유,앱솔루트,3.0,"앱솔루트 엄마가 만든 프리미엄 명작 분유 4단계, 800g",16900.0,분유,앱솔루트,2.0,"앱솔루트 엄마가 만든 프리미엄 명작 분유 3단계, 800g, 3개",50700.0
124,분유,분유,앱솔루트,3.0,"앱솔루트 엄마가 만든 프리미엄 명작 분유 4단계, 800g",16900.0,분유,앱솔루트,9.0,"앱솔루트 프리미엄 명작 분유 1단계, 800g",20700.0
125,분유,분유,앱솔루트,9.0,"앱솔루트 시작부터 바르게 본 분유 3단계 750g,",11000.0,분유,앱솔루트,18.0,"앱솔루트 시작부터 바르게 본 분유 3단계 750g, 3개",31860.0
126,분유,분유,앱솔루트,9.0,"앱솔루트 시작부터 바르게 본 분유 3단계 750g,",11000.0,분유,앱솔루트,44.0,"앱솔루트 시작부터 바르게 본 분유 2단계, 750g",11000.0
127,분유,분유,앱솔루트,9.0,"앱솔루트 시작부터 바르게 본 분유 3단계 750g,",11000.0,분유,앱솔루트,12.0,"앱솔루트 시작부터 바르게 본 분유 2단계, 750g, 3개",31510.0
128,분유,분유,앱솔루트,9.0,"앱솔루트 시작부터 바르게 본 분유 3단계 750g,",11000.0,분유,앱솔루트,21.0,"앱솔루트 오리지널 본 분유 1단계, 750g, 3개",34470.0
129,분유,분유,앱솔루트,9.0,"앱솔루트 시작부터 바르게 본 분유 3단계 750g,",11000.0,분유,앱솔루트,40.0,"앱솔루트 유기농 궁 분유 4단계, 800g",28000.0
130,분유,분유,앱솔루트,8.0,"앱솔루트 프리미엄 명작 분유 1단계, 800g, 3개",62100.0,분유,앱솔루트,9.0,"앱솔루트 프리미엄 명작 분유 1단계, 800g",20700.0
131,분유,분유,앱솔루트,8.0,"앱솔루트 프리미엄 명작 분유 1단계, 800g, 3개",62100.0,분유,앱솔루트,10.0,"앱솔루트 프리미엄 명작 분유 2단계, 800g, 3개",62100.0
132,분유,분유,앱솔루트,8.0,"앱솔루트 프리미엄 명작 분유 1단계, 800g, 3개",62100.0,분유,앱솔루트,14.0,"앱솔루트 프리미엄 명작 분유 1단계, 800g, 6개",124200.0
133,분유,분유,앱솔루트,8.0,"앱솔루트 프리미엄 명작 분유 1단계, 800g, 3개",62100.0,분유,앱솔루트,16.0,"앱솔루트 프리미엄 명작 분유  2단계, 800g",21800.0
134,분유,분유,앱솔루트,8.0,"앱솔루트 프리미엄 명작 분유 1단계, 800g, 3개",62100.0,분유,앱솔루트,7.0,"앱솔루트 엄마가 만든 프리미엄 명작 분유 4단계, 800g, 3개",50700.0
135,분유,분유,앱솔루트,2.0,"앱솔루트 엄마가 만든 프리미엄 명작 분유 3단계, 800g, 3개",50700.0,분유,앱솔루트,6.0,"앱솔루트 엄마가 만든 프리미엄 명작 분유 3단계, 800g",16900.0
